sno,sname,sex,height,dorm,bdate
01037966,陈云,男,1.78,东12舍214,2005-01-11 00:00:00
01038752,莫欣,女,1.93,西14舍418,2001-02-02 00:00:00
01032470,刘畅,女,1.82,北3舍205,2000-08-06 00:00:00
01033920,杨彬,男,1.73,南14舍405,2004-10-12 00:00:00
01033202,刘婷婷,女,1.76,东6舍125,2001-02-12 00:00:00
01031501,袁杨,男,1.88,东15舍312,2006-04-07 00:00:00
01035311,卢利,男,1.62,东6舍204,2003-04-15 00:00:00
01037217,王娟,男,1.63,北11舍212,2004-06-29 00:00:00
01036483,彭雪,女,1.52,南1舍217,2004-08-23 00:00:00
01033955,杨婷,男,1.83,南9舍417,2003-03-22 00:00:00
01033956,魏凤英,男,1.90,南11舍424,2004-07-22 00:00:00
01038872,潘秀芳,女,1.79,西11舍211,2006-05-15 00:00:00
01034136,张瑞,女,1.60,北4舍428,2003-04-21 00:00:00
01035824,叶雷,女,1.98,南7舍316,2003-04-01 00:00:00
01034185,王桂兰,男,1.88,南13舍214,2005-04-07 00:00:00
01032549,黄丹丹,女,1.72,北4舍306,2002-03-02 00:00:00
01036222,刘燕,女,1.97,南8舍313,2001-01-15 00:00:00
01035683,卢建国,女,1.96,东9舍126,2003-08-10 00:00:00
01037420,陈宁,男,1.72,西8舍417,2001-05-26 00:00:00
01034024,贾浩,女,1.80,西15舍317,2004-04-19 00:00:00
01034454,冯璐,男,1.68,东5舍128,2001-03-05 00:00:00
01036317,张建华,男,1.81,东7舍411,2004-01-22 00:00:00
01034533,牟雪,男,1.53,西7舍228,2003-03-07 00:00:00
01031092,贺宁,男,1.71,东14舍218,2005-03-19 00:00:00
01036931,刘秀梅,男,1.82,东6舍108,2001-11-26 00:00:00
01032440,兰帆,男,1.91,西15舍427,2003-03-11 00:00:00
01032975,马亮,男,1.65,西2舍415,2005-04-25 00:00:00
01037779,张欢,女,1.71,南2舍413,2005-10-18 00:00:00
01032049,苏勇,男,1.59,西2舍421,2005-11-04 00:00:00
01038837,王淑珍,女,1.50,南15舍417,2001-11-11 00:00:00
01031962,余燕,男,1.66,北7舍114,2006-05-17 00:00:00
01035506,董龙,女,1.86,北7舍303,2005-11-17 00:00:00
01038611,萧龙,女,1.82,西7舍402,2001-07-20 00:00:00
01036296,任畅,女,1.78,南9舍321,2003-01-03 00:00:00
01035551,王刚,女,1.51,东8舍324,2001-01-04 00:00:00
01033221,高桂芝,女,1.62,北11舍112,2005-01-28 00:00:00
01031010,李静,女,1.58,东15舍302,2000-11-03 00:00:00
01033286,华林,女,1.75,北4舍307,2006-03-10 00:00:00
01034170,王建国,男,1.59,西10舍407,2003-07-20 00:00:00
01036473,傅帅,男,1.62,北13舍327,2003-12-29 00:00:00
01035274,马阳,女,1.89,北12舍304,2003-06-26 00:00:00
01035543,李涛,女,1.73,北11舍108,2006-05-20 00:00:00
01036124,马颖,男,1.81,东15舍308,2001-06-25 00:00:00
01036695,谭桂芝,女,1.60,东13舍314,2001-06-28 00:00:00
01035896,杜秀英,女,1.94,东8舍102,2003-05-03 00:00:00
01034867,苏秀云,女,1.62,北10舍216,2001-04-10 00:00:00
01032899,张岩,女,1.50,东10舍118,2005-09-14 00:00:00
01037289,宋玉兰,女,1.82,西15舍406,2002-10-17 00:00:00
01037279,张金凤,男,1.55,东6舍214,2000-08-04 00:00:00
01031707,夏颖,男,1.65,南11舍406,2004-03-29 00:00:00
01034430,宋桂珍,男,1.53,南9舍318,2006-02-28 00:00:00
01037633,吴洁,男,1.54,西7舍416,2001-08-16 00:00:00
01038480,张华,男,1.85,南7舍214,2005-08-28 00:00:00
01033767,刘欣,男,1.65,北7舍308,2006-01-18 00:00:00
01035332,胡建,女,1.93,西10舍217,2006-01-27 00:00:00
01032553,刘璐,男,1.74,北1舍418,2004-06-22 00:00:00
01034912,彭文,女,1.65,北3舍204,2005-08-23 00:00:00
01037598,周勇,女,1.50,西15舍426,2003-01-28 00:00:00
01035668,李淑珍,女,1.62,南10舍225,2003-03-29 00:00:00
01036195,张洋,男,1.89,东14舍108,2003-07-18 00:00:00
01033003,王桂香,男,1.85,东15舍217,2001-01-10 00:00:00
01032017,刘淑华,男,1.71,东2舍306,2005-11-08 00:00:00
01032637,饶想,女,1.86,东14舍406,2004-08-03 00:00:00
01033539,刘娟,女,1.74,西12舍325,2006-04-09 00:00:00
01031300,饶伟,女,1.80,东15舍314,2005-10-29 00:00:00
01031201,白杨,男,1.98,北7舍106,2003-02-08 00:00:00
01037835,蔡岩,女,1.82,南2舍221,2003-01-21 00:00:00
01033932,李超,女,1.67,东15舍402,2001-01-09 00:00:00
01038749,王红梅,男,1.75,北13舍223,2003-07-08 00:00:00
01031307,郭淑华,女,1.68,东1舍122,2005-05-31 00:00:00
01032371,朱军,男,1.77,北4舍407,2004-09-08 00:00:00
01038898,白平,女,1.99,东10舍226,2002-05-30 00:00:00
01032916,张桂香,男,1.81,南11舍202,2002-06-16 00:00:00
01035864,关秀梅,男,1.88,北1舍127,2006-05-12 00:00:00
